date,jackpot_winner,second winner,,,,,,,,jackpot_winner,jnum_1,jwinner_1,jnum_2,jwinner_2,jnum_3,jwinner_3,jnum_4,jwinner_4,j_amt_col,j_num_col
7/18/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/25/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/1/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/8/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/15/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/22/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/29/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/5/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/12/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/19/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/26/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/3/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/10/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/17/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/24/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/31/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/7/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/14/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/21/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/28/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/5/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/12/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/19/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/26/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/2/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/9/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/16/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/23/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/30/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/6/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/10/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/13/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/17/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/20/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/24/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/27/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/3/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/6/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/10/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/13/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/17/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/20/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/24/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/27/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/31/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/3/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/7/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/10/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/14/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/17/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/21/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/24/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/28/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/1/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/5/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/8/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/12/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/15/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/19/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/22/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/26/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/29/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/2/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/5/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/9/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/12/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/16/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/19/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/23/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/26/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/30/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/3/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/7/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/10/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/14/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/17/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/21/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/24/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/28/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/31/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/4/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/7/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/11/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/14/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/18/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/21/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/25/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/28/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/1/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/4/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/8/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/11/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/15/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/18/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/22/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/25/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/29/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/2/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/6/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/9/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/13/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/16/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/20/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/23/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/27/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/30/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/3/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/6/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/10/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/13/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/17/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/20/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/24/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/27/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/1/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/4/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/8/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/11/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/15/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/18/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/22/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/25/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/29/98,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/1/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/5/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/8/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/12/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/15/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/19/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/22/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/26/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/29/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/2/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/5/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/9/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/12/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/16/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/19/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/23/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/26/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/2/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/5/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/9/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/12/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/16/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/19/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/23/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/26/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/30/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/2/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/6/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/9/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/13/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/16/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/20/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/23/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/27/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/30/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/4/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/7/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/11/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/14/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/18/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/21/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/25/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/28/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/1/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/4/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/8/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/11/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/15/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/18/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/22/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/25/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/29/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/2/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/6/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/9/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/13/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/16/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/20/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/23/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/27/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/30/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/3/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/6/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/10/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/13/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/17/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/20/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/24/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/27/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/31/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/3/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/7/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/10/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/14/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/17/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/21/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/24/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/28/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/1/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/5/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/8/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/12/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/15/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/19/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/22/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/26/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/29/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/2/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/5/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/9/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/12/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/16/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/19/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/23/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/26/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/30/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/3/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/7/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/10/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/14/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/17/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/21/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/24/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/28/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/31/99,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/4/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/7/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/11/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/14/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/18/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/21/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/25/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/28/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/1/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/4/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/8/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/11/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/15/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/18/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/22/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/25/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/29/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/3/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/7/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/10/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/14/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/17/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/21/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/24/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/28/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/31/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/4/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/7/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/11/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/14/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/18/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/21/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/25/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/28/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/2/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/5/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/9/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/12/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/16/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/19/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/23/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/26/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/30/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/2/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/6/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/9/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/13/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/16/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/20/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/23/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/27/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/30/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/4/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/7/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/11/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/14/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/18/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/21/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/25/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/28/00,[''],[''],,,,,,,,[''],,,,,,,,,73000000,1
8/1/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/4/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/8/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/11/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/15/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/18/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/22/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/25/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
8/29/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/1/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/5/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/8/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/12/00,[''],[''],,,,,,,,[''],,,,,,,,,63000000,1
9/15/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/19/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/22/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/26/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/29/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/3/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/6/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/10/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/13/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/17/00,[''],[''],,,,,,,,[''],,,,,,,,,39000000,1
10/20/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/24/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/27/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/31/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/3/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/7/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/10/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/14/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/17/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/21/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/24/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/28/00,[''],[''],,,,,,,,[''],,,,,,,,,43000000,1
12/1/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/5/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/8/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/12/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/15/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/19/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/22/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/26/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/29/00,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/2/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/5/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/9/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/12/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/16/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/19/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/23/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/26/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/30/01,[''],[''],,,,,,,,[''],,,,,,,,,103000000,1
2/2/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/6/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/9/01,[''],[''],,,,,,,,[''],,,,,,,,,10000000,1
2/13/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/16/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/20/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/23/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/27/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/2/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/6/01,[''],[''],,,,,,,,[''],,,,,,,,,21000000,1
3/9/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/13/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/16/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/20/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/23/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/27/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/30/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/3/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/6/01,[''],[''],,,,,,,,[''],,,,,,,,,0,0
